symbol,date,rate
Heart Disease,1900,265.4
Heart Disease,1901,272.6
Heart Disease,1902,285.2
Heart Disease,1903,304.5
Heart Disease,1904,331.5
Heart Disease,1905,327.8
Heart Disease,1906,325.5
Heart Disease,1907,356.5
Heart Disease,1908,328.6
Heart Disease,1909,329.2
Heart Disease,1910,345.1
Heart Disease,1911,341.8
Heart Disease,1912,346.0
Heart Disease,1913,337.9
Heart Disease,1914,346.4
Heart Disease,1915,361.5
Heart Disease,1916,373.3
Heart Disease,1917,377.9
Heart Disease,1918,366.2
Heart Disease,1919,335.7
Heart Disease,1920,375.0
Heart Disease,1921,366.2
Heart Disease,1922,392.1
Heart Disease,1923,410.3
Heart Disease,1924,410.5
Heart Disease,1925,433.8
Heart Disease,1926,465.7
Heart Disease,1927,448.8
Heart Disease,1928,478.9
Heart Disease,1929,476.2
Heart Disease,1930,467.9
Heart Disease,1931,459.6
Heart Disease,1932,482.8
Heart Disease,1933,483.8
Heart Disease,1934,502.9
Heart Disease,1935,506.8
Heart Disease,1936,546.2
Heart Disease,1937,538.8
Heart Disease,1938,528.9
Heart Disease,1939,534.5
Heart Disease,1940,558.5
Heart Disease,1941,537.9
Heart Disease,1942,531.7
Heart Disease,1943,567.5
Heart Disease,1944,541.1
Heart Disease,1945,533.2
Heart Disease,1946,527.7
Heart Disease,1947,552.5
Heart Disease,1948,549.0
Heart Disease,1949,581.0
Heart Disease,1950,588.8
Heart Disease,1951,577.9
Heart Disease,1952,568.8
Heart Disease,1953,570.1
Heart Disease,1954,544.6
Heart Disease,1955,556.7
Heart Disease,1956,560.6
Heart Disease,1957,568.5
Heart Disease,1958,563.6
Heart Disease,1959,552.1
Heart Disease,1960,559.0
Heart Disease,1961,545.3
Heart Disease,1962,556.9
Heart Disease,1963,563.4
Heart Disease,1964,543.3
Heart Disease,1965,542.5
Heart Disease,1966,541.2
Heart Disease,1967,524.7
Heart Disease,1968,531.0
Heart Disease,1969,516.8
Heart Disease,1970,492.7
Heart Disease,1971,492.9
Heart Disease,1972,490.2
Heart Disease,1973,482.0
Heart Disease,1974,458.8
Heart Disease,1975,431.2
Heart Disease,1976,426.9
Heart Disease,1977,413.7
Heart Disease,1978,409.9
Heart Disease,1979,401.6
Heart Disease,1980,412.1
Heart Disease,1981,397.0
Heart Disease,1982,389.0
Heart Disease,1983,388.9
Heart Disease,1984,378.8
Heart Disease,1985,375.0
Heart Disease,1986,365.1
Heart Disease,1987,355.9
Heart Disease,1988,352.5
Heart Disease,1989,332.0
Heart Disease,1990,321.8
Heart Disease,1991,313.8
Heart Disease,1992,306.1
Heart Disease,1993,309.9
Heart Disease,1994,299.7
Heart Disease,1995,296.3
Heart Disease,1996,288.3
Heart Disease,1997,280.4
Heart Disease,1998,272.4
Heart Disease,1999,266.5
Heart Disease,2000,257.6
Heart Disease,2001,249.5
Heart Disease,2002,244.6
Heart Disease,2003,236.3
Heart Disease,2004,221.6
Heart Disease,2005,216.8
Heart Disease,2006,205.5
Heart Disease,2007,196.1
Heart Disease,2008,192.1
Heart Disease,2009,182.8
Heart Disease,2010,179.1
Heart Disease,2011,173.7
Heart Disease,2012,170.5
Heart Disease,2013,169.8
Cancer,1900,114.8
Cancer,1901,118.1
Cancer,1902,119.7
Cancer,1903,125.2
Cancer,1904,127.9
Cancer,1905,132.5
Cancer,1906,128.8
Cancer,1907,133.0
Cancer,1908,134.5
Cancer,1909,138.1
Cancer,1910,143.1
Cancer,1911,140.4
Cancer,1912,144.7
Cancer,1913,147.8
Cancer,1914,146.6
Cancer,1915,149.5
Cancer,1916,152.2
Cancer,1917,150.7
Cancer,1918,148.4
Cancer,1919,152.1
Cancer,1920,159.0
Cancer,1921,163.5
Cancer,1922,165.6
Cancer,1923,168.8
Cancer,1924,170.6
Cancer,1925,174.3
Cancer,1926,177.3
Cancer,1927,177.8
Cancer,1928,177.8
Cancer,1929,175.3
Cancer,1930,174.5
Cancer,1931,175.8
Cancer,1932,179.2
Cancer,1933,178.2
Cancer,1934,181.6
Cancer,1935,183.4
Cancer,1936,186.8
Cancer,1937,184.6
Cancer,1938,185.7
Cancer,1939,187.1
Cancer,1940,187.8
Cancer,1941,184.1
Cancer,1942,183.8
Cancer,1943,183.9
Cancer,1944,183.8
Cancer,1945,186.9
Cancer,1946,187.1
Cancer,1947,190.7
Cancer,1948,193.4
Cancer,1949,193.9
Cancer,1950,193.9
Cancer,1951,192.0
Cancer,1952,194.2
Cancer,1953,194.6
Cancer,1954,194.3
Cancer,1955,194.5
Cancer,1956,195.6
Cancer,1957,195.4
Cancer,1958,192.0
Cancer,1959,191.6
Cancer,1960,193.9
Cancer,1961,193.4
Cancer,1962,193.3
Cancer,1963,194.7
Cancer,1964,193.6
Cancer,1965,195.6
Cancer,1966,196.5
Cancer,1967,197.3
Cancer,1968,198.8
Cancer,1969,198.5
Cancer,1970,198.6
Cancer,1971,199.3
Cancer,1972,200.3
Cancer,1973,200.0
Cancer,1974,201.5
Cancer,1975,200.1
Cancer,1976,202.5
Cancer,1977,203.5
Cancer,1978,204.9
Cancer,1979,204.0
Cancer,1980,207.9
Cancer,1981,206.4
Cancer,1982,208.3
Cancer,1983,209.1
Cancer,1984,210.8
Cancer,1985,211.3
Cancer,1986,211.5
Cancer,1987,211.7
Cancer,1988,212.5
Cancer,1989,214.2
Cancer,1990,216.0
Cancer,1991,215.2
Cancer,1992,213.5
Cancer,1993,213.5
Cancer,1994,211.7
Cancer,1995,209.8
Cancer,1996,206.7
Cancer,1997,203.5
Cancer,1998,200.7
Cancer,1999,200.8
Cancer,2000,199.6
Cancer,2001,196.5
Cancer,2002,194.3
Cancer,2003,190.9
Cancer,2004,186.8
Cancer,2005,185.1
Cancer,2006,181.8
Cancer,2007,179.3
Cancer,2008,176.4
Cancer,2009,173.5
Cancer,2010,172.8
Cancer,2011,169.0
Cancer,2012,166.5
Cancer,2013,163.2
Stroke,1900,244.2
Stroke,1901,243.6
Stroke,1902,237.8
Stroke,1903,244.6
Stroke,1904,255.2
Stroke,1905,247.3
Stroke,1906,245.9
Stroke,1907,261.8
Stroke,1908,239.0
Stroke,1909,237.5
Stroke,1910,238.5
Stroke,1911,230.2
Stroke,1912,228.7
Stroke,1913,226.9
Stroke,1914,231.3
Stroke,1915,234.5
Stroke,1916,235.7
Stroke,1917,238.2
Stroke,1918,228.0
Stroke,1919,225.6
Stroke,1920,238.5
Stroke,1921,230.1
Stroke,1922,238.9
Stroke,1923,245.6
Stroke,1924,246.4
Stroke,1925,227.9
Stroke,1926,228.2
Stroke,1927,216.3
Stroke,1928,223.4
Stroke,1929,213.3
Stroke,1930,203.9
Stroke,1931,195.0
Stroke,1932,194.4
Stroke,1933,185.0
Stroke,1934,184.5
Stroke,1935,181.2
