symbol,date,rate
Both Sexes,1900,47.3
Both Sexes,1901,49.1
Both Sexes,1902,51.5
Both Sexes,1903,50.5
Both Sexes,1904,47.6
Both Sexes,1905,48.7
Both Sexes,1906,48.7
Both Sexes,1907,47.6
Both Sexes,1908,51.1
Both Sexes,1909,52.1
Both Sexes,1910,50
Both Sexes,1911,52.6
Both Sexes,1912,53.5
Both Sexes,1913,52.5
Both Sexes,1914,54.2
Both Sexes,1915,54.5
Both Sexes,1916,51.7
Both Sexes,1917,50.9
Both Sexes,1918,39.1
Both Sexes,1919,54.7
Both Sexes,1920,54.1
Both Sexes,1921,60.8
Both Sexes,1922,59.6
Both Sexes,1923,57.2
Both Sexes,1924,59.7
Both Sexes,1925,59
Both Sexes,1926,56.7
Both Sexes,1927,60.4
Both Sexes,1928,56.8
Both Sexes,1929,57.1
Both Sexes,1930,59.7
Both Sexes,1931,61.1
Both Sexes,1932,62.1
Both Sexes,1933,63.3
Both Sexes,1934,61.1
Both Sexes,1935,61.7
Both Sexes,1936,58.5
Both Sexes,1937,60
Both Sexes,1938,63.5
Both Sexes,1939,63.7
Both Sexes,1940,62.9
Both Sexes,1941,64.8
Both Sexes,1942,66.2
Both Sexes,1943,63.3
Both Sexes,1944,65.2
Both Sexes,1945,65.9
Both Sexes,1946,66.7
Both Sexes,1947,66.8
Both Sexes,1948,67.2
Both Sexes,1949,68
Both Sexes,1950,68.2
Both Sexes,1951,68.4
Both Sexes,1952,68.6
Both Sexes,1953,68.8
Both Sexes,1954,69.6
Both Sexes,1955,69.6
Both Sexes,1956,69.7
Both Sexes,1957,69.5
Both Sexes,1958,69.6
Both Sexes,1959,69.9
Both Sexes,1960,69.7
Both Sexes,1961,70.2
Both Sexes,1962,70.1
Both Sexes,1963,69.9
Both Sexes,1964,70.2
Both Sexes,1965,70.2
Both Sexes,1966,70.2
Both Sexes,1967,70.5
Both Sexes,1968,70.2
Both Sexes,1969,70.5
Both Sexes,1970,70.8
Both Sexes,1971,71.1
Both Sexes,1972,71.2
Both Sexes,1973,71.4
Both Sexes,1974,72
Both Sexes,1975,72.6
Both Sexes,1976,72.9
Both Sexes,1977,73.3
Both Sexes,1978,73.5
Both Sexes,1979,73.9
Both Sexes,1980,73.7
Both Sexes,1981,74.1
Both Sexes,1982,74.5
Both Sexes,1983,74.6
Both Sexes,1984,74.7
Both Sexes,1985,74.7
Both Sexes,1986,74.7
Both Sexes,1987,74.9
Both Sexes,1988,74.9
Both Sexes,1989,75.1
Both Sexes,1990,75.4
Both Sexes,1991,75.5
Both Sexes,1992,75.8
Both Sexes,1993,75.5
Both Sexes,1994,75.7
Both Sexes,1995,75.8
Both Sexes,1996,76.1
Both Sexes,1997,76.5
Both Sexes,1998,76.7
Both Sexes,1999,76.7
Both Sexes,2000,76.8
Both Sexes,2001,77
Both Sexes,2002,77
Both Sexes,2003,77.6
Both Sexes,2004,77.5
Both Sexes,2005,77.6
Both Sexes,2006,77.8
Both Sexes,2007,78.1
Both Sexes,2008,78.2
Both Sexes,2009,78.5
Both Sexes,2010,78.7
Both Sexes,2011,78.7
Both Sexes,2012,78.8
Both Sexes,2013,78.8
